Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Kansas City,1028.0,50.0,270.0,45.842,86.0,256.0,80.0,84.0,-8.0,1.0,2.0,1.975,65.0,132.0,168.0,438.0,4.0,4.0,8.0,6.0,1640.0,1.537
Kentucky,1571.0,40.0,285.0,40.688,97.0,230.0,84.0,63.0,0.0,3.0,6.0,2.193,62.0,136.0,154.0,382.0,7.0,8.0,7.0,4.0,1710.0,1.105
LIU,743.0,94.0,285.0,49.933,79.0,237.0,144.0,78.0,10.0,1.0,2.0,2.275,119.0,130.0,226.0,496.0,5.0,10.0,6.0,3.0,1730.0,1.353
LMU (CA),448.0,38.0,270.0,48.842999999999996,103.0,266.0,92.0,54.0,5.0,1.0,4.0,2.1029999999999998,65.0,146.0,198.0,450.0,6.0,8.0,4.0,6.0,1620.0,1.0
La Salle,1514.0,22.0,255.0,36.004,82.0,198.0,64.0,72.0,-8.0,4.0,4.0,2.469,43.0,106.0,110.0,298.0,5.0,5.0,8.0,4.0,1530.0,1.412
Lafayette,1190.0,42.0,315.0,43.811,117.0,278.0,100.0,57.0,6.0,3.0,5.0,2.3179999999999996,71.0,94.0,214.0,492.0,8.0,9.0,6.0,6.0,1930.0,0.886
Lehigh,1866.0,18.0,270.0,29.006,47.0,171.0,56.0,93.0,-17.0,5.0,5.0,2.391,37.0,158.0,88.0,240.0,1.0,3.0,10.0,5.0,1620.0,1.722
Liberty,634.0,74.0,270.0,52.161,121.0,207.0,140.0,75.0,10.0,6.0,6.0,2.677,107.0,98.0,230.0,532.0,2.0,9.0,6.0,3.0,1640.0,1.372
Lipscomb,493.0,96.0,270.0,58.167,114.0,202.0,176.0,96.0,12.0,4.0,7.0,2.3609999999999998,136.0,144.0,258.0,598.0,3.0,10.0,4.0,4.0,1620.0,1.778
Longwood,878.0,32.0,225.0,47.01,74.0,193.0,72.0,60.0,-2.0,0.0,0.0,1.667,52.0,110.0,178.0,410.0,3.0,6.0,6.0,3.0,1350.0,1.333
Louisville,752.0,86.0,300.0,51.7,80.0,263.0,172.0,105.0,8.0,2.0,2.0,2.8609999999999998,129.0,194.0,232.0,514.0,6.0,12.0,5.0,3.0,1820.0,1.731
Loyola Chicago,560.0,64.0,225.0,53.067,87.0,165.0,124.0,45.0,16.0,2.0,3.0,2.496,94.0,74.0,202.0,484.0,7.0,8.0,2.0,5.0,1370.0,0.985
Loyola Maryland,1388.0,26.0,270.0,41.679,84.0,239.0,84.0,45.0,6.0,4.0,5.0,2.601,55.0,114.0,156.0,392.0,7.0,7.0,3.0,8.0,1620.0,0.833
Manhattan,773.0,36.0,270.0,44.167,76.0,226.0,96.0,81.0,-3.0,5.0,5.0,2.594,66.0,130.0,186.0,448.0,3.0,7.0,8.0,3.0,1620.0,1.5
Marist,630.0,26.0,255.0,45.948,105.0,219.0,84.0,72.0,-3.0,2.0,4.0,2.05,55.0,114.0,178.0,440.0,2.0,6.0,8.0,3.0,1530.0,1.412
Marquette,486.0,54.0,240.0,53.5,112.0,187.0,124.0,60.0,11.0,3.0,3.0,2.7560000000000002,89.0,116.0,226.0,470.0,4.0,7.0,6.0,3.0,1440.0,1.25
Marshall,459.0,108.0,285.0,56.529,115.0,206.0,208.0,42.0,38.0,2.0,3.0,2.746,158.0,96.0,250.0,610.0,11.0,17.0,2.0,0.0,1710.0,0.737
Maryland,899.0,52.0,225.0,45.657,89.0,179.0,80.0,69.0,-3.0,0.0,4.0,1.5190000000000001,66.0,84.0,174.0,344.0,4.0,4.0,8.0,3.0,1350.0,1.533
Massachusetts,757.0,58.0,285.0,47.467999999999996,93.0,218.0,124.0,78.0,5.0,4.0,4.0,2.662,91.0,138.0,214.0,522.0,3.0,7.0,6.0,6.0,1730.0,1.353
