Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
UNC Greensboro,874.0,26.0,255.0,36.82,85.0,169.0,64.0,96.0,-16.0,1.0,3.0,1.565,45.0,88.0,142.0,366.0,0.0,2.0,10.0,5.0,1521.0,1.893
UNCW,988.0,24.0,240.0,39.008,68.0,157.0,68.0,57.0,-2.0,3.0,3.0,2.749,46.0,102.0,182.0,350.0,7.0,6.0,6.0,4.0,1440.0,1.188
UNLV,1224.0,48.0,285.0,39.675,64.0,212.0,96.0,75.0,-1.0,2.0,3.0,2.334,72.0,148.0,174.0,390.0,2.0,7.0,8.0,4.0,1741.0,1.292
USC Upstate,306.0,30.0,255.0,44.165,66.0,184.0,100.0,108.0,-11.0,5.0,6.0,2.33,65.0,176.0,184.0,424.0,4.0,5.0,10.0,2.0,1530.0,2.118
UTRGV,94.0,18.0,225.0,43.28,73.0,172.0,92.0,90.0,-7.0,7.0,7.0,2.564,55.0,140.0,162.0,326.0,3.0,5.0,9.0,1.0,1350.0,2.0
Utah Valley,749.0,42.0,255.0,47.125,94.0,212.0,108.0,108.0,-9.0,1.0,2.0,1.7710000000000001,75.0,88.0,164.0,484.0,4.0,3.0,7.0,7.0,1550.0,2.09
VCU,382.0,42.0,270.0,39.722,89.0,182.0,92.0,66.0,1.0,2.0,3.0,2.401,67.0,130.0,166.0,362.0,4.0,7.0,6.0,5.0,1620.0,1.222
VMI,1012.0,48.0,285.0,45.217999999999996,82.0,260.0,108.0,129.0,-16.0,2.0,4.0,1.86,78.0,152.0,194.0,424.0,3.0,5.0,14.0,0.0,1680.0,2.303
Vermont,742.0,60.0,285.0,50.421,95.0,283.0,112.0,42.0,14.0,3.0,3.0,2.88,86.0,104.0,218.0,534.0,8.0,12.0,5.0,2.0,1710.0,0.737
Villanova,336.0,52.0,240.0,50.361999999999995,61.0,183.0,92.0,108.0,-13.0,1.0,1.0,2.452,72.0,168.0,228.0,484.0,1.0,1.0,8.0,7.0,1440.0,2.25
Virginia,430.0,50.0,255.0,45.003,83.0,207.0,104.0,48.0,10.0,2.0,2.0,2.931,77.0,112.0,176.0,394.0,6.0,10.0,3.0,4.0,1550.0,0.929
Virginia Tech,542.0,46.0,255.0,46.119,89.0,213.0,84.0,123.0,-20.0,1.0,1.0,2.3729999999999998,65.0,116.0,190.0,438.0,1.0,4.0,9.0,4.0,1530.0,2.412
Wake Forest,579.0,74.0,270.0,52.059,105.0,223.0,144.0,42.0,22.0,6.0,7.0,2.711,109.0,66.0,222.0,552.0,7.0,11.0,2.0,5.0,1620.0,0.778
Washington,1256.0,58.0,270.0,41.897,98.0,225.0,92.0,72.0,-1.0,1.0,2.0,1.971,75.0,82.0,140.0,380.0,3.0,5.0,6.0,7.0,1620.0,1.333
West Virginia,575.0,70.0,300.0,46.45,105.0,205.0,164.0,60.0,21.0,3.0,4.0,2.73,117.0,96.0,238.0,502.0,8.0,14.0,2.0,4.0,1800.0,1.0
Western Ill.,2207.0,14.0,255.0,29.819000000000003,55.0,168.0,36.0,111.0,-28.0,0.0,0.0,1.146,25.0,130.0,94.0,260.0,1.0,2.0,14.0,1.0,1530.0,2.176
Western Mich.,363.0,138.0,300.0,60.4,153.0,239.0,196.0,45.0,34.0,2.0,2.0,3.123,167.0,138.0,270.0,632.0,11.0,16.0,1.0,3.0,1820.0,0.742
William & Mary,613.0,30.0,240.0,39.64,64.0,183.0,64.0,69.0,-7.0,1.0,1.0,2.4699999999999998,47.0,110.0,156.0,344.0,4.0,2.0,8.0,6.0,1440.0,1.438
Winthrop,857.0,30.0,255.0,42.647999999999996,78.0,206.0,72.0,111.0,-19.0,0.0,1.0,1.399,51.0,168.0,158.0,384.0,2.0,4.0,11.0,2.0,1550.0,2.148
Wisconsin,239.0,24.0,255.0,41.072,100.0,198.0,68.0,54.0,-1.0,0.0,0.0,1.6440000000000001,46.0,88.0,158.0,390.0,7.0,6.0,5.0,6.0,1530.0,1.059
Wofford,265.0,40.0,255.0,36.652,67.0,170.0,80.0,45.0,5.0,2.0,3.0,2.441,60.0,104.0,132.0,322.0,7.0,7.0,4.0,6.0,1530.0,0.882
Wright St.,781.0,26.0,270.0,47.327,98.0,254.0,88.0,93.0,-9.0,3.0,4.0,2.203,57.0,144.0,188.0,478.0,3.0,4.0,9.0,5.0,1620.0,1.722
Xavier,818.0,38.0,285.0,43.064,73.0,246.0,88.0,48.0,6.0,3.0,3.0,2.954,63.0,132.0,218.0,422.0,9.0,9.0,4.0,6.0,1730.0,0.832
Yale,600.0,60.0,285.0,40.061,75.0,211.0,104.0,54.0,8.0,2.0,2.0,2.791,82.0,106.0,154.0,398.0,8.0,11.0,5.0,3.0,1710.0,0.947
