isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,xgot,goalType,color
False,goal,assisted,right-foot,high-left,0.44101712107658,1916447,70,,4177,21,1223,shot,Kamil Jóźwiak,,,kamil-jozwiak,K. Jóźwiak,M,2804,814820,7.1,46.8,0,0,52.9,27.2,46.8,7.1,47.1,0,47.1,72.8,,,,,,0.8206,regular,#00FF00
False,miss,regular,right-foot,left,0.02982147410512,1916425,63,,3738,28,1662,shot,Derrick Jones,,,derrick-jones,D. Jones,M,36,844982,28.1,50.3,0,0,64.2,4.2,50.3,28.1,35.8,0,35.8,95.8,17.1,44.8,0.0,44.8,17.1,,,#ea6969
False,block,assisted,right-foot,low-centre,0.020192550495267,1916424,63,,3725,28,1675,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,31.4,23.3,0,0,48.6,19.0,23.3,31.4,51.4,0,51.4,81.0,15.9,37.2,0.0,37.2,15.9,,,#ea6969
False,miss,corner,head,left,0.061387006193399,1916370,52,,3116,39,2284,shot,Adilson Malanda,Adilson Malanda,,adilson-malanda,A. Malanda,D,57,1095645,8.2,56.2,0,0,62.5,11.1,56.2,8.2,37.5,0,37.5,88.9,,,,,,,,#ea6969
False,goal,assisted,right-foot,low-left,0.089373983442783,1916349,51,,3001,40,2399,shot,Benjamin Bender,,,benjamin-bender,B. Bender,M,98,982691,10.7,55.3,0,0,53.9,6.3,55.3,10.7,46.1,0,46.1,93.7,,,,,,0.4333,regular,#00FF00
False,save,assisted,head,high-centre,0.041589137166739,1916178,26,,1505,20,1195,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,4.1,34.7,0,0,50.3,29.7,34.7,4.1,49.7,0,49.7,70.3,0.3,46.7,0.0,46.7,0.3,0.0433,,#ea6969
False,miss,assisted,right-foot,high,0.21523289382458,1916153,14,,833,32,1867,shot,Nuno Santos,,,nuno-santos,N. Santos,M,216,930552,9.3,59.8,0,0,55.1,69.4,59.8,9.3,44.9,0,44.9,30.6,,,,,,,,#ea6969
False,miss,set-piece,other,close-high,0.14711159467697,1916141,12,,710,34,1990,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,1.6,56.7,0,0,46.1,55.6,56.7,1.6,53.9,0,53.9,44.4,,,,,,,,#ea6969
False,save,regular,head,low-centre,0.05699173361063,1916135,11,,620,35,2080,shot,Nuno Santos,,,nuno-santos,N. Santos,M,216,930552,11.6,47.0,0,0,50.6,16.5,47.0,11.6,49.4,0,49.4,83.5,1.4,50.0,0.0,50.0,1.4,0.0263,,#ea6969
False,miss,regular,right-foot,close-left,0.26742836833,1916124,9,,518,37,2182,shot,Nuno Santos,,,nuno-santos,N. Santos,M,216,930552,17.7,50.0,0,0,58.2,4.2,50.0,17.7,41.8,0,41.8,95.8,,,,,,,,#ea6969
False,miss,assisted,right-foot,close-right,0.066817097365856,1916100,2,,72,44,2628,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,10.0,35.9,0,0,41.3,6.9,35.9,10.0,58.7,0,58.7,93.1,,,,,,,,#ea6969
True,miss,corner,head,high,0.17367407679558,1908252,86,,5124,5,276,shot,Jaylin Lindsey,,,jaylin-lindsey,J. Lindsey,D,77,906015,7.8,44.9,0,0,53.8,70.8,44.9,7.8,46.2,0,46.2,29.2,,,,,,,,#ea6969
True,miss,free-kick,right-foot,high,0.035454194992781,1908222,81,,4811,10,589,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,26.9,27.7,0,0,53.8,63.9,27.7,26.9,46.2,0,46.2,36.1,,,,,,,,#ea6969
True,goal,regular,right-foot,low-right,,1908204,74,,4426,17,974,shot,Andres Reyes,,,andres-reyes,A. Reyes,D,196,931708,4.4,43.7,0,0,46.7,3.8,43.7,4.4,53.3,0,53.3,96.2,,,,,,,own,#00FF00
True,block,free-kick,right-foot,low-centre,0.093703895807266,1908124,58,,3432,33,1968,shot,Nuno Santos,,,nuno-santos,N. Santos,M,216,930552,19.4,61.2,0,0,50.1,19.0,61.2,19.4,49.9,0,49.9,81.0,12.3,57.0,0.0,57.0,12.3,,,#ea6969
True,miss,regular,left-foot,high-left,0.079364806413651,1908093,48,,2872,43,2528,shot,Orrin McKinze Gaines II.,,,orrin-mckinze-gaines-ii,O. M. G. II.,F,28,818397,15.6,56.1,0,0,58.2,91.7,56.1,15.6,41.8,0,41.8,8.3,,,,,,,,#ea6969
True,block,assisted,left-foot,low-centre,0.072149254381657,1908092,48,,2869,43,2531,shot,Orrin McKinze Gaines II.,,,orrin-mckinze-gaines-ii,O. M. G. II.,F,28,818397,14.7,60.2,0,0,51.3,13.9,60.2,14.7,48.7,0,48.7,86.1,12.5,58.8,0.0,58.8,12.5,,,#ea6969
True,save,assisted,left-foot,low-right,0.15094755589962,1908011,15,,896,31,1804,shot,Orrin McKinze Gaines II.,,,orrin-mckinze-gaines-ii,O. M. G. II.,F,28,818397,6.9,44.5,0,0,46.8,3.8,44.5,6.9,53.2,0,53.2,96.2,0.7,48.7,0.0,48.7,0.7,0.3905,,#ea6969
False,post,corner,left-foot,right,0.095623463392258,1896899,49,,2932,42,2468,shot,Harrison Afful,,,harrison-afful,H. Afful,D,208,32741,13.8,47.8,0,0,44.5,3.8,47.8,13.8,55.5,0,55.5,96.2,,,,,,,,#ea6969
False,miss,corner,head,left,0.042417868971825,1896831,45,,2693,1,7,shot,Bill Tuiloma,,,bill-tuiloma,B. Tuiloma,D,71,155892,9.0,56.0,0,0,61.8,26.4,56.0,9.0,38.2,0,38.2,73.6,,,,,,,,#ea6969
False,goal,assisted,right-foot,low-left,0.063017509877682,1896807,37,,2197,9,503,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,15.5,36.4,0,0,53.6,4.4,36.4,15.5,46.4,0,46.4,95.6,,,,,,0.2011,regular,#00FF00
False,goal,assisted,right-foot,low-left,0.33713716268539,1896778,26,,1555,20,1145,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,9.8,57.5,0,0,52.1,2.5,57.5,9.8,47.9,0,47.9,97.5,,,,,,0.7668,regular,#00FF00
False,save,assisted,right-foot,low-centre,0.080553062260151,1896772,25,,1441,21,1259,shot,Orrin McKinze Gaines II.,,,orrin-mckinze-gaines-ii,O. M. G. II.,F,28,818397,9.9,60.5,0,0,51.6,5.1,60.5,9.9,48.4,0,48.4,94.9,2.3,52.5,0.0,52.5,2.3,0.1127,,#ea6969
False,block,assisted,head,low-centre,0.042603809386492,1896771,22,,1271,24,1429,shot,Ashley Westwood,,,ashley-westwood,A. Westwood,M,175,49647,11.6,44.9,0,0,49.1,19.0,44.9,11.6,50.9,0,50.9,81.0,7.3,47.1,0.0,47.1,7.3,,,#ea6969
False,miss,assisted,right-foot,close-right,0.022336924448609,1896755,16,,948,30,1752,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,16.4,29.1,0,0,43.4,15.3,29.1,16.4,56.6,0,56.6,84.7,,,,,,,,#ea6969
False,save,assisted,head,low-left,0.022910358384252,1896730,7,,386,39,2314,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,162,1131136,9.6,34.5,0,0,54.1,19.0,34.5,9.6,45.9,0,45.9,81.0,0.5,45.8,0.0,45.8,0.5,0.1923,,#ea6969
